Day fraction since midnight on 11/17/2018	Fluoride Probe (volts)	balance ()	balance2 ()
2:26:40 PM	0.61511314	-999999	-999999
2:26:41 PM	0.61511123	-999999	-999999
2:26:42 PM	0.61511952	-999999	-999999
2:26:43 PM	0.61513108	-999999	-999999
2:26:44 PM	0.6151185	-999999	-999999
2:26:45 PM	0.61511123	-999999	-999999
2:26:46 PM	0.61511964	-999999	-999999
2:26:47 PM	0.61511767	-999999	-999999
2:26:48 PM	0.61512059	-999999	-999999
2:26:49 PM	0.6151101	-999999	-999999
2:26:50 PM	0.61511821	-999999	-999999
2:26:51 PM	0.61512643	-999999	-999999
2:26:52 PM	0.61513209	-999999	-999999
2:26:53 PM	0.6151197	-999999	-999999
2:26:54 PM	0.61513972	-999999	-999999
2:26:55 PM	0.61513132	-999999	-999999
2:26:56 PM	0.61513019	-999999	-999999
2:26:57 PM	0.61513931	-999999	-999999
2:26:58 PM	0.61513484	-999999	-999999
2:26:59 PM	0.61513597	-999999	-999999
2:27:00 PM	0.61513603	-999999	-999999
2:27:01 PM	0.61512667	-999999	-999999
2:27:02 PM	0.61510408	-999999	-999999
2:27:03 PM	0.61513138	-999999	-999999
2:27:04 PM	0.61514205	-999999	-999999
2:27:05 PM	0.6151334	-999999	-999999
2:27:06 PM	0.61513621	-999999	-999999
2:27:07 PM	0.61513776	-999999	-999999
2:27:08 PM	0.61513406	-999999	-999999
2:27:09 PM	0.61512315	-999999	-999999
2:27:10 PM	0.6151374	-999999	-999999
2:27:11 PM	0.61511421	-999999	-999999
2:27:12 PM	0.61512619	-999999	-999999
2:27:13 PM	0.61512905	-999999	-999999
2:27:14 PM	0.61514395	-999999	-999999
2:27:15 PM	0.61513013	-999999	-999999
2:27:16 PM	0.61512589	-999999	-999999
2:27:17 PM	0.61512685	-999999	-999999
2:27:18 PM	0.61511427	-999999	-999999
2:27:19 PM	0.61514521	-999999	-999999
2:27:20 PM	0.61513275	-999999	-999999
2:27:21 PM	0.61509931	-999999	-999999
2:27:22 PM	0.61512846	-999999	-999999
2:27:23 PM	0.6151377	-999999	-999999
2:27:24 PM	0.61512274	-999999	-999999
2:27:25 PM	0.61514038	-999999	-999999
2:27:26 PM	0.61513197	-999999	-999999
2:27:27 PM	0.6151154	-999999	-999999
2:27:28 PM	0.6151343	-999999	-999999
2:27:29 PM	0.61513895	-999999	-999999
2:27:30 PM	0.6151433	-999999	-999999
2:27:31 PM	0.61514485	-999999	-999999
2:27:32 PM	0.61513835	-999999	-999999
2:27:33 PM	0.61515272	-999999	-999999
2:27:34 PM	0.61513573	-999999	-999999
2:27:35 PM	0.615143	-999999	-999999
2:27:36 PM	0.61512333	-999999	-999999
2:27:37 PM	0.61510915	-999999	-999999
2:27:38 PM	0.61513323	-999999	-999999
2:27:39 PM	0.61513847	-999999	-999999
2:27:40 PM	0.61511701	-999999	-999999
2:27:41 PM	0.61513066	-999999	-999999
2:27:42 PM	0.61513031	-999999	-999999
2:27:43 PM	0.61512053	-999999	-999999
2:27:44 PM	0.61511385	-999999	-999999
2:27:45 PM	0.61512917	-999999	-999999
2:27:46 PM	0.61514044	-999999	-999999
2:27:47 PM	0.61514127	-999999	-999999
2:27:48 PM	0.61512774	-999999	-999999
2:27:49 PM	0.61515069	-999999	-999999
2:27:50 PM	0.61514288	-999999	-999999
2:27:51 PM	0.61513382	-999999	-999999
2:27:52 PM	0.61512649	-999999	-999999
2:27:53 PM	0.61515766	-999999	-999999
2:27:54 PM	0.61512393	-999999	-999999
2:27:55 PM	0.6151458	-999999	-999999
2:27:56 PM	0.61514807	-999999	-999999
2:27:57 PM	0.61513555	-999999	-999999
2:27:58 PM	0.61513686	-999999	-999999
2:27:59 PM	0.61513823	-999999	-999999
2:28:00 PM	0.61514002	-999999	-999999
2:28:01 PM	0.61511928	-999999	-999999
2:28:02 PM	0.61513633	-999999	-999999
2:28:03 PM	0.61513865	-999999	-999999
2:28:04 PM	0.61513442	-999999	-999999
2:28:05 PM	0.61513311	-999999	-999999
2:28:06 PM	0.61514109	-999999	-999999
2:28:07 PM	0.61511648	-999999	-999999
2:28:08 PM	0.61512327	-999999	-999999
2:28:09 PM	0.61512911	-999999	-999999
2:28:10 PM	0.61511862	-999999	-999999
2:28:11 PM	0.61512816	-999999	-999999
2:28:12 PM	0.61513388	-999999	-999999
2:28:13 PM	0.6151197	-999999	-999999
2:28:14 PM	0.61514097	-999999	-999999
2:28:15 PM	0.61514986	-999999	-999999
2:28:16 PM	0.61512375	-999999	-999999
2:28:17 PM	0.61514467	-999999	-999999
2:28:18 PM	0.61514318	-999999	-999999
2:28:19 PM	0.61514217	-999999	-999999
2:28:20 PM	0.61516231	-999999	-999999
2:28:21 PM	0.61513913	-999999	-999999
2:28:22 PM	0.61514533	-999999	-999999
2:28:23 PM	0.61515194	-999999	-999999
2:28:24 PM	0.615143	-999999	-999999
2:28:25 PM	0.6151455	-999999	-999999
2:28:26 PM	0.61515743	-999999	-999999
2:28:27 PM	0.61514276	-999999	-999999
2:28:28 PM	0.61514616	-999999	-999999
2:28:29 PM	0.61514169	-999999	-999999
2:28:30 PM	0.61516404	-999999	-999999
2:28:31 PM	0.61515284	-999999	-999999
2:28:32 PM	0.61515427	-999999	-999999
2:28:33 PM	0.61514157	-999999	-999999
2:28:34 PM	0.61514229	-999999	-999999
2:28:35 PM	0.61515135	-999999	-999999
2:28:36 PM	0.61517179	-999999	-999999
2:28:37 PM	0.61514956	-999999	-999999
2:28:38 PM	0.61514151	-999999	-999999
2:28:39 PM	0.61514086	-999999	-999999
2:28:40 PM	0.61514241	-999999	-999999
2:28:41 PM	0.61514753	-999999	-999999
2:28:42 PM	0.61514449	-999999	-999999
2:28:43 PM	0.61512852	-999999	-999999
2:28:44 PM	0.61514223	-999999	-999999
2:28:45 PM	0.61513221	-999999	-999999
2:28:46 PM	0.61514783	-999999	-999999
2:28:47 PM	0.61514181	-999999	-999999
2:28:48 PM	0.61512399	-999999	-999999
2:28:49 PM	0.61513346	-999999	-999999
2:28:50 PM	0.61514807	-999999	-999999
2:28:51 PM	0.61515146	-999999	-999999
2:28:52 PM	0.61514097	-999999	-999999
2:28:53 PM	0.61512488	-999999	-999999
2:28:54 PM	0.61513299	-999999	-999999
2:28:55 PM	0.61513281	-999999	-999999
2:28:56 PM	0.6151427	-999999	-999999
2:28:57 PM	0.61513877	-999999	-999999
2:28:58 PM	0.61513799	-999999	-999999
2:28:59 PM	0.61513835	-999999	-999999
2:29:00 PM	0.61513484	-999999	-999999
2:29:01 PM	0.61513013	-999999	-999999
2:29:02 PM	0.61514616	-999999	-999999
2:29:03 PM	0.615134	-999999	-999999
2:29:04 PM	0.61514276	-999999	-999999
2:29:05 PM	0.6151334	-999999	-999999
2:29:06 PM	0.6151315	-999999	-999999
2:29:07 PM	0.61513269	-999999	-999999
2:29:08 PM	0.61514443	-999999	-999999
2:29:09 PM	0.61512083	-999999	-999999
2:29:10 PM	0.61513615	-999999	-999999
2:29:11 PM	0.61512434	-999999	-999999
2:29:12 PM	0.61512774	-999999	-999999
2:29:13 PM	0.61513257	-999999	-999999
2:29:14 PM	0.61513507	-999999	-999999
2:29:15 PM	0.61514223	-999999	-999999
2:29:16 PM	0.61512727	-999999	-999999
2:29:17 PM	0.61512589	-999999	-999999
2:29:18 PM	0.61513263	-999999	-999999
2:29:19 PM	0.61514723	-999999	-999999
2:29:20 PM	0.61515391	-999999	-999999
2:29:21 PM	0.61512899	-999999	-999999
2:29:22 PM	0.61513269	-999999	-999999
2:29:23 PM	0.61512887	-999999	-999999
2:29:24 PM	0.6151225	-999999	-999999
2:29:25 PM	0.61512047	-999999	-999999
2:29:26 PM	0.61513323	-999999	-999999
2:29:27 PM	0.61511439	-999999	-999999
2:29:28 PM	0.6151334	-999999	-999999
2:29:29 PM	0.61512148	-999999	-999999
2:29:30 PM	0.61515397	-999999	-999999
2:29:31 PM	0.61513948	-999999	-999999
2:29:32 PM	0.61515051	-999999	-999999
2:29:33 PM	0.61515617	-999999	-999999
2:29:34 PM	0.61514366	-999999	-999999
2:29:35 PM	0.61514556	-999999	-999999
2:29:36 PM	0.61513597	-999999	-999999
2:29:37 PM	0.61513245	-999999	-999999
2:29:38 PM	0.61512256	-999999	-999999
2:29:39 PM	0.61512607	-999999	-999999
2:29:40 PM	0.61512589	-999999	-999999
2:29:41 PM	0.61515033	-999999	-999999
2:29:42 PM	0.61513001	-999999	-999999
2:29:43 PM	0.6151256	-999999	-999999
2:29:44 PM	0.61514044	-999999	-999999
2:29:45 PM	0.61511755	-999999	-999999
2:29:46 PM	0.61513263	-999999	-999999
2:29:47 PM	0.61513531	-999999	-999999
2:29:48 PM	0.615134	-999999	-999999
2:29:49 PM	0.61513716	-999999	-999999
2:29:50 PM	0.61514425	-999999	-999999
2:29:51 PM	0.61512321	-999999	-999999
2:29:52 PM	0.61514246	-999999	-999999
2:29:53 PM	0.61513716	-999999	-999999
2:29:54 PM	0.61512399	-999999	-999999
2:29:55 PM	0.6151281	-999999	-999999
2:29:56 PM	0.61513186	-999999	-999999
2:29:57 PM	0.615116	-999999	-999999
2:29:58 PM	0.61511111	-999999	-999999
2:29:59 PM	0.61511958	-999999	-999999
2:30:00 PM	0.61512095	-999999	-999999
2:30:01 PM	0.61511689	-999999	-999999
2:30:02 PM	0.61513621	-999999	-999999
2:30:03 PM	0.61511672	-999999	-999999
2:30:04 PM	0.61514002	-999999	-999999
2:30:05 PM	0.61513293	-999999	-999999
2:30:06 PM	0.61513245	-999999	-999999
2:30:07 PM	0.61512941	-999999	-999999
2:30:08 PM	0.6151166	-999999	-999999
2:30:09 PM	0.61513323	-999999	-999999
2:30:10 PM	0.61512524	-999999	-999999
2:30:11 PM	0.61511695	-999999	-999999
2:30:12 PM	0.61511028	-999999	-999999
2:30:13 PM	0.61511165	-999999	-999999
2:30:14 PM	0.61510164	-999999	-999999
2:30:15 PM	0.61512798	-999999	-999999
2:30:16 PM	0.61511314	-999999	-999999
2:30:17 PM	0.61511648	-999999	-999999
2:30:18 PM	0.61511385	-999999	-999999
2:30:19 PM	0.615116	-999999	-999999
2:30:20 PM	0.61511648	-999999	-999999
2:30:21 PM	0.6151191	-999999	-999999
2:30:22 PM	0.61511272	-999999	-999999
2:30:23 PM	0.61511719	-999999	-999999
2:30:24 PM	0.61511338	-999999	-999999
2:30:25 PM	0.61511976	-999999	-999999
2:30:26 PM	0.6151042	-999999	-999999
2:30:27 PM	0.61510891	-999999	-999999
2:30:28 PM	0.61510229	-999999	-999999
2:30:29 PM	0.61510444	-999999	-999999
2:30:30 PM	0.61509621	-999999	-999999
2:30:31 PM	0.61510283	-999999	-999999
2:30:32 PM	0.6151011	-999999	-999999
2:30:33 PM	0.61509925	-999999	-999999
2:30:34 PM	0.6151076	-999999	-999999
2:30:35 PM	0.61511135	-999999	-999999
2:30:36 PM	0.61510146	-999999	-999999
2:30:37 PM	0.61510193	-999999	-999999
2:30:38 PM	0.61510795	-999999	-999999
2:30:39 PM	0.61509758	-999999	-999999
2:30:40 PM	0.61509866	-999999	-999999
2:30:41 PM	0.61509323	-999999	-999999
2:30:42 PM	0.61511153	-999999	-999999
2:30:43 PM	0.61510593	-999999	-999999
2:30:44 PM	0.615098	-999999	-999999
2:30:45 PM	0.61511326	-999999	-999999
2:30:46 PM	0.61510372	-999999	-999999
2:30:47 PM	0.61511642	-999999	-999999
2:30:48 PM	0.6150946	-999999	-999999
2:30:49 PM	0.61512488	-999999	-999999
2:30:50 PM	0.61511528	-999999	-999999
2:30:51 PM	0.61511058	-999999	-999999
2:30:52 PM	0.61510217	-999999	-999999
2:30:53 PM	0.61509293	-999999	-999999
2:30:54 PM	0.61509192	-999999	-999999
2:30:55 PM	0.61507922	-999999	-999999
2:30:56 PM	0.61509305	-999999	-999999
2:30:57 PM	0.61510152	-999999	-999999
2:30:58 PM	0.61509115	-999999	-999999
2:30:59 PM	0.6150943	-999999	-999999
2:31:00 PM	0.61509228	-999999	-999999
2:31:01 PM	0.61508173	-999999	-999999
2:31:02 PM	0.61509913	-999999	-999999
2:31:03 PM	0.61508888	-999999	-999999
2:31:04 PM	0.6150918	-999999	-999999
2:31:05 PM	0.61511528	-999999	-999999
2:31:06 PM	0.61508399	-999999	-999999
2:31:07 PM	0.61508369	-999999	-999999
2:31:08 PM	0.6150946	-999999	-999999
2:31:09 PM	0.61509675	-999999	-999999
2:31:10 PM	0.6151033	-999999	-999999
2:31:11 PM	0.61509532	-999999	-999999
2:31:12 PM	0.61509979	-999999	-999999
2:31:13 PM	0.61507219	-999999	-999999
2:31:14 PM	0.61509043	-999999	-999999
2:31:15 PM	0.61508477	-999999	-999999
2:31:16 PM	0.61508703	-999999	-999999
2:31:17 PM	0.61508304	-999999	-999999
2:31:18 PM	0.61509722	-999999	-999999
2:31:19 PM	0.61509228	-999999	-999999
2:31:20 PM	0.61509877	-999999	-999999
2:31:21 PM	0.61509895	-999999	-999999
2:31:22 PM	0.61506999	-999999	-999999
2:31:23 PM	0.61507493	-999999	-999999
2:31:24 PM	0.61509192	-999999	-999999
2:31:25 PM	0.61508036	-999999	-999999
2:31:26 PM	0.61508179	-999999	-999999
2:31:27 PM	0.61507583	-999999	-999999
2:31:28 PM	0.61507672	-999999	-999999
2:31:29 PM	0.61508846	-999999	-999999
2:31:30 PM	0.61508495	-999999	-999999
2:31:31 PM	0.6150648	-999999	-999999
2:31:32 PM	0.61508572	-999999	-999999
2:31:33 PM	0.61508143	-999999	-999999
2:31:34 PM	0.61507732	-999999	-999999
2:31:35 PM	0.61507165	-999999	-999999
2:31:36 PM	0.6151002	-999999	-999999
2:31:37 PM	0.61508495	-999999	-999999
2:31:38 PM	0.61507547	-999999	-999999
2:31:39 PM	0.61508352	-999999	-999999
2:31:40 PM	0.61507481	-999999	-999999
2:31:41 PM	0.61508191	-999999	-999999
2:31:42 PM	0.61507982	-999999	-999999
2:31:43 PM	0.61507094	-999999	-999999
2:31:44 PM	0.6150766	-999999	-999999
2:31:45 PM	0.61506164	-999999	-999999
2:31:46 PM	0.61507052	-999999	-999999
2:31:47 PM	0.61506301	-999999	-999999
2:31:48 PM	0.61507571	-999999	-999999
2:31:49 PM	0.61505377	-999999	-999999
2:31:50 PM	0.61505091	-999999	-999999
2:31:51 PM	0.61505854	-999999	-999999
2:31:52 PM	0.61506385	-999999	-999999
2:31:53 PM	0.61505592	-999999	-999999
2:31:54 PM	0.61504716	-999999	-999999
2:31:55 PM	0.61505258	-999999	-999999
2:31:56 PM	0.61506438	-999999	-999999
2:31:57 PM	0.61505544	-999999	-999999
2:31:58 PM	0.61506432	-999999	-999999
2:31:59 PM	0.61504525	-999999	-999999
2:32:00 PM	0.61504078	-999999	-999999
2:32:01 PM	0.6150738	-999999	-999999
2:32:02 PM	0.61506611	-999999	-999999
2:32:03 PM	0.61505151	-999999	-999999
2:32:04 PM	0.61506462	-999999	-999999
2:32:05 PM	0.61504555	-999999	-999999
2:32:06 PM	0.61504644	-999999	-999999
2:32:07 PM	0.6150474	-999999	-999999
2:32:08 PM	0.61505949	-999999	-999999
2:32:09 PM	0.61504894	-999999	-999999
2:32:10 PM	0.61505914	-999999	-999999
2:32:11 PM	0.61505592	-999999	-999999
2:32:12 PM	0.61503571	-999999	-999999
2:32:13 PM	0.61504698	-999999	-999999
2:32:14 PM	0.61504096	-999999	-999999
2:32:15 PM	0.61505294	-999999	-999999
2:32:16 PM	0.61504966	-999999	-999999
2:32:17 PM	0.61504894	-999999	-999999
2:32:18 PM	0.61504287	-999999	-999999
2:32:19 PM	0.61504132	-999999	-999999
2:32:20 PM	0.61505538	-999999	-999999
2:32:21 PM	0.61504936	-999999	-999999
2:32:22 PM	0.61506712	-999999	-999999
2:32:23 PM	0.61504054	-999999	-999999
2:32:24 PM	0.61505628	-999999	-999999
2:32:25 PM	0.61504751	-999999	-999999
2:32:26 PM	0.61504269	-999999	-999999
2:32:27 PM	0.6150375	-999999	-999999
2:32:28 PM	0.61504519	-999999	-999999
2:32:29 PM	0.61503422	-999999	-999999
2:32:30 PM	0.61504114	-999999	-999999
2:32:31 PM	0.61504912	-999999	-999999
2:32:32 PM	0.61504871	-999999	-999999
2:32:33 PM	0.6150344	-999999	-999999
